Sort_Order,Animal_ID,Year,Season,Departure_UTC,Arrival_UTC,Departure_Local,Arrival_Local,Flight_Duration_Hours,Stage,Overall_Duration_Days,Final_Destination,Departure_Site,Arrival_Site,Stay_Duration_Hours
37,MAGO_6E,2015,spring,4/24/2015 3:58,4/27/2015 0:57,4/23/2015 19:58,4/26/2015 15:57,68.99,N1,NA,N,humboldt,controller,51.40
38,MAGO_6E,2015,spring,4/29/2015 4:21,4/29/2015 19:48,4/28/2015 19:21,4/29/2015 10:48,15.45,N2,5.66,Y,controller,ugashik,1759.69
39,MAGO_6E,2015,fall,7/12/2015 3:30,7/13/2015 5:08,7/11/2015 18:30,7/12/2015 20:08,25.64,S1,NA,N,ugashik,yak_danger,1.63
40,MAGO_6E,2015,fall,7/13/2015 6:46,7/13/2015 7:15,7/12/2015 21:46,7/12/2015 22:15,0.48,S2,NA,N,yak_danger,yakutat,138.36
41,MAGO_6E,2015,fall,7/19/2015 1:37,7/20/2015 18:20,7/18/2015 16:37,7/20/2015 10:20,40.73,S3,8.62,Y,yakutat,humboldt,NA
42,MAGO_7C,2008,fall,7/12/2008 2:02,7/14/2008 4:53,7/11/2008 17:02,7/13/2008 20:53,50.84,S1,2.12,Y,ugashik,humboldt,6911.69
43,MAGO_7C,2009,spring,4/28/2009 4:34,4/28/2009 23:08,4/27/2009 20:34,4/28/2009 15:08,18.57,N1,NA,N,humboldt,tofino,81.94
44,MAGO_7C,2009,spring,5/2/2009 9:04,5/3/2009 15:00,5/2/2009 1:04,5/3/2009 6:00,29.92,N2,NA,N,tofino,yak_danger,45.27
45,MAGO_7C,2009,spring,5/5/2009 12:16,5/5/2009 17:26,5/5/2009 3:16,5/5/2009 8:26,5.17,N3,NA,N,yak_danger,controller,51.73
46,MAGO_7C,2009,spring,5/7/2009 21:10,5/8/2009 10:13,5/7/2009 12:10,5/8/2009 1:13,13.05,N4,10.24,Y,controller,ugashik,1283.28
47,MAGO_7C,2009,fall,6/30/2009 21:29,7/2/2009 10:29,6/30/2009 12:29,7/2/2009 2:29,36.99,S1,1.54,Y,ugashik,humboldt,7190.23
48,MAGO_7C,2010,spring,4/28/2010 0:43,4/30/2010 17:52,4/27/2010 16:43,4/30/2010 8:52,65.15,N1,NA,N,humboldt,se_ak1,3.68
